Date,Open,High,Low,Close,Volume
2020-07-10,768.63,778.34,768.02,778.33,3778384804
2020-07-13,778.34,785.02,772.27,772.32,4095507470
2020-07-14,772.2,778.16,769.27,778.15,3348062866
2020-07-15,778.16,794.7,778.16,793.49,3862758096
2020-07-16,793.48,794.23,788.83,792.09,3413214286
2020-07-17,792.09,795.88,791.33,793.53,3487122533
2020-07-20,793.53,794.58,790.1,791.4,3338089531
2020-07-21,791.4,802.85,791.4,801.18,3947071889
2020-07-22,801.18,803.61,799.21,803.51,3708760303
2020-07-23,803.51,806.78,799.31,801.99,3804395594
2020-07-24,801.99,801.99,797.02,797.6,3167789861
2020-07-27,797.61,801.87,796.9,801.86,3420884966
2020-07-28,801.86,804.33,800.92,801.1,3465797953
2020-07-29,801.1,811.63,801.1,811.62,3915926532
2020-07-30,811.61,811.61,800.23,805.46,3530238763
